ModbusManager 1.0.9
20200624
Product: VVM310, VVM500
Database: 8310
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"EP23-BT3 Return temp S4";"Return temperature for system 4";40127;"°C";s16;10;0;0;0;R;
"EP22-BT3 Return temp S3";"Return temperature for system 3";40128;"°C";s16;10;0;0;0;R;
"EP21-BT3 Return temp S2";"Return temperature for system 2";40129;"°C";s16;10;0;0;0;R;
"EP30-BT51 Solar pool Temp";"";40154;"°C";s16;10;0;0;0;R;
"EP47-BT2 Supply temp S8";"Supply temperature for system 8";40159;"°C";s16;10;0;0;0;R;
"EP46-BT2 Supply temp S7";"Supply temperature for system 7";40160;"°C";s16;10;0;0;0;R;
"EP45-BT2 Supply temp S6";"Supply temperature for system 6";40161;"°C";s16;10;0;0;0;R;
"EP44-BT2 Supply temp S5";"Supply temperature for system 5";40162;"°C";s16;10;0;0;0;R;
"EP47-BT3 Return temp S8";"Return temperature for system 8";40163;"°C";s16;10;0;0;0;R;
"EP46-BT3 Return temp S7";"Return temperature for system 7";40164;"°C";s16;10;0;0;0;R;
"EP45-BT3 Return temp S6";"Return temperature for system 6";40165;"°C";s16;10;0;0;0;R;
"EP44-BT3 Return temp S5";"Return temperature for system 5";40166;"°C";s16;10;0;0;0;R;
"EP47-BT50 Room Temp S8";"";40167;"°C";s16;10;0;0;0;R;
"EP46-BT50 Room Temp S7";"";40168;"°C";s16;10;0;0;0;R;
"EP45-BT50 Room Temp S6";"";40169;"°C";s16;10;0;0;0;R;
"EP44-BT50 Room Temp S5";"";40170;"°C";s16;10;0;0;0;R;
"AZ30-BT23 Outdoor temp. ERS 1";"";40183;"°C";s16;10;0;0;0;R;
"BT1 Average, 1h";"EB100-BT1 Outdoor temperature average, 1h";40185;"°C";s16;10;0;0;0;R;
"EP47-BT50 Room Temp S8 Average";"";40188;"°C";s16;10;0;0;0;R;
"EP46-BT50 Room Temp S7 Average";"";40189;"°C";s16;10;0;0;0;R;
"EP45-BT50 Room Temp S6 Average";"";40190;"°C";s16;10;0;0;0;R;
"EP44-BT50 Room Temp S5 Average";"";40191;"°C";s16;10;0;0;0;R;
"EP23-BT50 Room Temp S4 Average";"";40192;"°C";s16;10;0;0;0;R;
"EP22-BT50 Room Temp S3 Average";"";40193;"°C";s16;10;0;0;0;R;
"EP21-BT50 Room Temp S2 Average";"";40194;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1 Average";"";40195;"°C";s16;10;0;0;0;R;
"BT74 Average";"BT74 heating cooling sensor average";40212;"°C";s16;10;0;0;0;R;
"Calc. Supply S8";"Calculated supply temperature for the climate system";40217;"°C";s16;10;0;0;0;R;
"Calc. Supply S7";"Calculated supply temperature for the climate system";40218;"°C";s16;10;0;0;0;R;
"Calc. Supply S6";"Calculated supply temperature for the climate system";40219;"°C";s16;10;0;0;0;R;
"Calculated Supply S5";"Calculated supply temperature for the climate system";40220;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S8";"Calculated supply temperature in cooling mode for the climate system";40221;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S7";"Calculated supply temperature in cooling mode for the climate system";40222;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S6";"Calculated supply temperature in cooling mode for the climate system";40223;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S5";"Calculated supply temperature in cooling mode for the climate system";40224;"°C";s16;10;0;0;0;R;
"Mixing Valve State S8";"State of the mixing valve for the climate system";40305;"";u8;1;0;0;0;R;
"Mixing Valve State S7";"State of the mixing valve for the climate system";40306;"";u8;1;0;0;0;R;
"Mixing Valve State S6";"State of the mixing valve for the climate system";40307;"";u8;1;0;0;0;R;
"Mixing Valve State S5";"State of the mixing valve for the climate system";40308;"";u8;1;0;0;0;R;
"External ERS 1 accessory relays";"Indicates the status of the relays on the ERS accessory. The information is binary encoded. b0: K1, b1: K2, b2: K3, b3: K4";40310;"";u8;1;0;0;0;R;
"External ERS 1 accessory GQ2 speed";"Indicates the speed of the GQ2 fan speed on the ERS accessory.";40311;"%";u8;1;0;0;0;R;
"External ERS 1 accessory GQ3 speed";"Indicates the speed of the GQ3 fan speed on the ERS accessory.";40312;"%";u8;1;0;0;0;R;
"External adjustment activated via input S8";"";40339;"";u8;1;0;0;0;R;
"External adjustment activated via input S7";"";40340;"";u8;1;0;0;0;R;
"External adjustment activated via input S6";"";40341;"";u8;1;0;0;0;R;
"External adjustment activated via input S5";"";40342;"";u8;1;0;0;0;R;
"Extra heating system pump S8";"";40365;"";u8;1;0;0;0;R;
"Extra heating system pump S7";"";40366;"";u8;1;0;0;0;R;
"Extra heating system pump S6";"";40367;"";u8;1;0;0;0;R;
"Extra heating system pump S5";"";40368;"";u8;1;0;0;0;R;
"EB101-EP14 Tot. Cooling op.time compr";"";40737;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool1 op.time compr";"";40739;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool2 op.time compr";"";40741;"h";u32;1;0;9999999;0;R;
"Tot. ext. HW add op.time";"Total external hw-electric additive operation time";40755;"h";s32;10;0;9999999;0;R;
"Heat Meter - Pool2 Cpr EP14";"Accumulated energy production as calculated by the heat meter";40771;"kWh";u32;10;0;0;0;R;
"EB108 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40775;"Hz";u8;1;0;0;0;R;
"EB107 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40776;"Hz";u8;1;0;0;0;R;
"EB106 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40777;"Hz";u8;1;0;0;0;R;
"EB105 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40778;"Hz";u8;1;0;0;0;R;
"EB104 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40779;"Hz";u8;1;0;0;0;R;
"EB103 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40780;"Hz";u8;1;0;0;0;R;
"EB102 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40781;"Hz";u8;1;0;0;0;R;
"EB101 Cpr Frequency Desired F2040";"The desired frequency as shown in service info";40782;"Hz";u8;1;0;0;0;R;
"OPT state";"Indicates the state of the boiler connected through the OPT accessory.";40792;"";u8;1;0;0;0;R;
"OPT version";"Version of the OPT PCBA software";40793;"";u16;1;0;0;0;R;
"OPT rel. modulation level";"OPT relative modulation level";40801;"%";s16;10;0;0;0;R;
"OPT boiler temperature";"OPT boiler temperature";40802;"°C";s16;10;0;0;0;R;
"OPT boiler op. time";"OPT boiler operation time";40806;"h";u16;1;0;0;0;R;
"BM1 Humidity ";"";40834;"%";s16;10;0;0;0;R;
"BM1 BT50 Room temp.";"";40856;"°C";s16;10;0;0;0;R;
"BM1 Pressure ";"";40857;"kPa";s16;10;0;0;0;R;
"BM1 Dewpoint";"";40858;"°C";s16;10;0;0;0;R;
"+Adjust AUX Port";"";40868;"1";u8;1;0;0;0;R;
"+Adjust OP mode";"Tells if plusadjust system calls for heat or cool";40870;"";u8;1;0;0;0;R;
"+Adjust Comfort mode";"Which comfort mode";40871;"";u8;1;0;0;0;R;
"+Adjust Parallell adjustment";"requested adjustment";40872;"";s8;1;0;0;0;R;
"+Adjust Humidity";"Humidity";40873;"%RH";s16;10;0;0;0;R;
"+Adjust Temp indoor";"Average of all room sensors";40874;"°C";s16;10;0;0;0;R;
"+Adjust Temp outdoor";"Outdoor temp";40875;"°C";s16;10;0;0;0;R;
"+Adjust Version";"PCA input version";40876;"";u16;1;0;0;0;R;
"+Adjust Activated";"If plusadjust accessory is activated";40877;"";u8;1;0;0;0;R;
"+Adjust Need";"If plusadjust system calls for heat";40878;"";u8;1;0;0;0;R;
"BT64 Average";"BT64 Cooling supply average";40889;"°C";s16;10;0;0;0;R;
"AZ10 Number of Starts";"";40928;"";u32;1;0;9999999;0;R;
"AZ10 Total Operating Time";"";40930;"h";u32;1;0;9999999;0;R;
"Degree Minutes (32 bit)";"Degree minutes, 32bit value. Full resolution.";40940;"";s32;10;-30000;30000;0;R/W;
"External ERS 1 accessory block status";"Indicates if the ERS accessory is externaly blocked.";40942;"";u8;1;0;0;0;R;
"External ERS 1 accessory EB17";"Indicates if the status of ERS accessory EB17. I = closed, 0 = open.";40943;"";u8;1;0;0;0;R;
"F135 AZ10-BT12 Cond. out";"";40947;"°C";s16;10;0;0;0;R;
"F135 AZ10-BT13 Cond. in";"";40948;"°C";s16;10;0;0;0;R;
"F135 AZ10-BT16 Evaporator temp";"";40949;"°C";s16;10;0;0;0;R;
"F135 AZ10-BT76 Defrosting temp";"";40950;"°C";s16;10;0;0;0;R;
"F135 AZ10-BT77 Air in temp";"";40951;"°C";s16;10;0;0;0;R;
"F135 AZ10 Active Alarm Number";"";40952;"";u16;1;0;0;0;R;
"F135 AZ10 Defrosting";"1 = Yes, 0 = No";40954;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40955;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40956;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40957;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40958;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40959;"";u8;1;0;0;0;R;
"F135 AZ10 Relay Status";"";40960;"";u8;1;0;0;0;R;
"F135 AZ10 Pump Speed";"";40961;"%";u8;1;0;0;0;R;
"F135 AZ10 Fan Speed";"";40962;"%";u8;1;0;0;0;R;
"F135 AZ10 Version";"";40964;"";u16;1;0;0;0;R;
"External Energy Meter 2 Accumulated Energy";"";40995;"kWh";u32;100;0;2147483647;0;R;
"External Energy Meter 1 Accumulated Energy";"";40997;"kWh";u32;100;0;2147483647;0;R;
"EB101 F2120 Alarm Number";"";41000;"";u8;1;0;0;0;R;
"EB101 F2120 Fan Speed";"F2120 Current Fan Speed";41002;"rpm";u16;1;0;0;0;R;
"EB101 F2120 Max Fan Speed";"F2120 Current Max Fan Speed";41003;"rpm";u16;1;0;0;0;R;
"EB101 F2120 Min Fan Speed";"F2120 Current Min Fan Speed";41004;"rpm";u16;1;0;0;0;R;
"EB101 F2120 Max Compressor Speed";"F2120 Current Max Compressor Speed";41005;"Hz";u16;10;0;0;0;R;
"EB101 F2120 Min Compressor Speed";"F2120 Current Min Compressor Speed";41006;"Hz";u16;10;0;0;0;R;
"EB101 F2120 Calculated Power";"F2120 Current Calculated Power";41007;"kW";u16;10;0;0;0;R;
"EB101 F2120 Time To Defrost";"";41008;"min";u16;1;0;0;0;R;
"Humidity average";"Humidity average";41027;"%";s16;10;0;0;0;R;
"EB101-EP14-BP8 LP Dew Pressure Sensor";"";41162;"°C";s16;10;0;0;0;R;
"EB101-EP14-BP9 HP Dew Pressure Sensor";"";41163;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT81 Evi Temp";"";41164;"°C";s16;10;0;0;0;R;
"EB101-EP14-BP11 Evi Pressure";"";41165;"bar";s16;10;0;0;0;R;
"EB101-EP14-BP11 Evi Dew Pressure";"";41166;"°C";s16;10;0;0;0;R;
"EB101-EP14-BT84 Evaptor temp";"";41167;"°C";s16;10;0;0;0;R;
"EB101-EP14 Fan Status";"";41168;"";u8;1;0;0;0;R;
"EB101-EP14 Fan Set";"";41169;"rpm";u16;1;0;0;0;R;
"Set point OPT boiler";"Set point OPT boiler";41186;"°C";s16;10;0;0;0;R;
"AZ10 High Condenser Out Alarm";"";41187;"";u8;1;0;0;0;R;
"AZ10 High Condenser In Alarm";"";41188;"";u8;1;0;0;0;R;
"PV Panel State";"";41191;"";u8;1;0;0;0;R;
"Smart Home Mode";"Current smart home mode, 0=Default,1=Away from home,2=Vacation";41265;"";u8;1;0;0;0;R;
"Offset to smart home system";"Offset to smart home system";41266;"°C";s8;10;0;0;0;R;
"Smart Home ctrl syst 8";"Smart Home is controlling the system";41267;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 7";"Smart Home is controlling the system";41268;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 6";"Smart Home is controlling the system";41269;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 5";"Smart Home is controlling the system";41270;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 4";"Smart Home is controlling the system";41271;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 3";"Smart Home is controlling the system";41272;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 2";"Smart Home is controlling the system";41273;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 1";"Smart Home is controlling the system";41274;"";u8;1;0;0;0;R;
"OPT boiler has priority hot water";"OPT boiler has priority hot water";41287;"";u8;1;0;0;0;R;
"Smart energy source, energy source prio 7, start DM";"Energy source prio 7, start DM";41393;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 6, start DM";"Energy source prio 6, start DM";41395;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 5, start DM";"Energy source prio 5, start DM";41397;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 4, start DM";"Energy source prio 4, start DM";41399;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 3, start DM";"Energy source prio 3, start DM";41401;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 2, start DM";"Energy source prio 2, start DM";41403;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 1, start DM";"Energy source prio 1, start DM";41405;"";s32;1;0;0;0;R;
"Smart energy source, degree minute min value";"Smart energy source, degree minute min value in Smart energy source system";41421;"";s32;1;0;0;0;R;
"Smart energy source, actual OPT10 addition price";"Smart energy source, actual OPT10 addition price.";41424;"";u16;1;0;0;0;R;
"Smart energy source, actual shunt add price";"Smart energy source, actual external step addition price.";41425;"";u16;1;0;0;0;R;
"Smart energy source, actual ext. step add price";"Smart energy source, actual external step add price.";41426;"";u16;1;0;0;0;R;
"Smart energy source, actual electricity price";"Smart energy source, actual electricity price.";41427;"";u16;1;0;0;0;R;
"Smart energy source prioritze OPT10 in hot water";"";41446;"";u8;1;0;0;0;R;
"Smart energy source prioritze in hot water";"Smart energy source prioritze in hot water, 0 = Compressor, 1 = OPT10, 2 = Internal addition";41705;"";u8;1;0;0;0;R;
"EB101-EP14 Alarm condensor in level";"Alarm condensor in level";41772;"°C";s16;10;0;0;0;R;
"EB101-EP14 Alarm condensor out level";"Alarm condensor out level";41773;"°C";s16;10;0;0;0;R;
"Smart Price Adaption Price";"The current electric price";41928;"";u16;100;0;0;0;R;
"Smart Price Adaption Price Level";"Whether the current price is unknown (0), low (1), medium (2), high (3)";41929;"";u8;1;0;0;0;R;
"AA23-BE5 Power 10";"";41930;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 9";"";41931;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 8";"";41932;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 7";"";41933;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 6";"";41934;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 5";"";41935;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 4";"";41936;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 3";"";41937;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 2";"";41938;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 1";"";41939;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 10";"";41940;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 9";"";41941;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 8";"";41942;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 7";"";41943;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 6";"";41944;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 5";"";41945;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 4";"";41946;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 3";"";41947;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 2";"";41948;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 1";"";41949;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 10";"";41950;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 9";"";41951;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 8";"";41952;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 7";"";41953;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 6";"";41954;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 5";"";41955;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 4";"";41956;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 3";"";41957;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 2";"";41958;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 1";"";41959;"W";u16;1;0;0;0;R;
"AA23-BE5 Com Percentage 10";"";41960;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 9";"";41961;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 8";"";41962;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 7";"";41963;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 6";"";41964;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 5";"";41965;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 4";"";41966;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 3";"";41967;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 2";"";41968;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 1";"";41969;"%";u8;1;0;0;0;R;
"AA23-BE5 Voltage1 10";"";41980;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 9";"";41981;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 8";"";41982;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 7";"";41983;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 6";"";41984;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 5";"";41985;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 4";"";41986;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 3";"";41987;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 2";"";41988;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage1 1";"";41989;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 10";"";41990;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 9";"";41991;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 8";"";41992;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 7";"";41993;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 6";"";41994;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 5";"";41995;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 4";"";41996;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 3";"";41997;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 2";"";41998;"V";u16;10;0;0;0;R;
"AA23-BE5 Voltage2 1";"";41999;"V";u16;10;0;0;0;R;
"AA23-BE5 Temperature 10";"";42000;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 9";"";42001;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 8";"";42002;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 7";"";42003;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 6";"";42004;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 5";"";42005;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 4";"";42006;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 3";"";42007;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 2";"";42008;"°C";u16;10;0;0;0;R;
"AA23-BE5 Temperature 1";"";42009;"°C";u16;10;0;0;0;R;
"AA23-BE5 Energy 10";"";42010;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 9";"";42012;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 8";"";42014;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 7";"";42016;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 6";"";42018;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 5";"";42020;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 4";"";42022;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 3";"";42024;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 2";"";42026;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Energy 1";"";42028;"kWh";u32;10;0;0;0;R;
"AA23-BE5 EME20 Version";"";42030;"";u16;1;0;0;0;R;
"PV Panel Heat Offset";"";42033;"°C";u8;10;0;0;0;R;
"PV Panel Pool Offset";"";42034;"°C";u8;10;0;0;0;R;
"AA23-BE5 EME20 Total Power";"";42035;"W";u32;1;0;0;0;R;
"AA23-BE5 EME20 Total Average Power";"";42037;"W";u32;1;0;0;0;R;
"AA23-BE5 EME20 Total Energy";"";42075;"kWh";u32;10;0;0;0;R;
"AA23-BE5 Alarm 504";"";42080;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 505";"";42081;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 506";"";42082;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 507";"";42083;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 508";"";42084;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 509";"";42085;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 510";"";42086;"";u8;1;0;0;0;R;
"AA23-BE5 Alarm 511";"";42087;"";u8;1;0;0;0;R;
"BT1 Average, 24h";"EB100-BT1 Outdoor temperature average, 24h";42100;"°C";s16;10;0;0;0;R;
"Used heating power average, 24h";"Used heating power average, 24h";42101;"°C";s16;10;0;0;0;R;
"BT22 Supply air temp.";"";42136;"°C";s16;10;0;0;0;R;
"BT22 Supply air temp.";"";42137;"°C";s16;10;0;0;0;R;
"BT22 Supply air temp.";"";42138;"°C";s16;10;0;0;0;R;
"AZ30-BT23 Outdoor temp. ERS 4";"";42139;"°C";s16;10;0;0;0;R;
"AZ30-BT23 Outdoor temp. ERS 3";"";42140;"°C";s16;10;0;0;0;R;
"AZ30-BT23 Outdoor temp. ERS 2";"";42141;"°C";s16;10;0;0;0;R;
"External ERS 4 accessory relays";"Indicates the status of the relays on the ERS accessory. The information is binary encoded. b0: K1, b1: K2, b2: K3, b3: K4";42150;"";u8;1;0;0;0;R;
"External ERS 3 accessory relays";"Indicates the status of the relays on the ERS accessory. The information is binary encoded. b0: K1, b1: K2, b2: K3, b3: K4";42151;"";u8;1;0;0;0;R;
"External ERS 2 accessory relays";"Indicates the status of the relays on the ERS accessory. The information is binary encoded. b0: K1, b1: K2, b2: K3, b3: K4";42152;"";u8;1;0;0;0;R;
"External ERS 4 accessory GQ2 speed";"Indicates the speed of the GQ2 fan speed on the ERS accessory.";42153;"%";u8;1;0;0;0;R;
"External ERS 3 accessory GQ2 speed";"Indicates the speed of the GQ2 fan speed on the ERS accessory.";42154;"%";u8;1;0;0;0;R;
"External ERS 2 accessory GQ2 speed";"Indicates the speed of the GQ2 fan speed on the ERS accessory.";42155;"%";u8;1;0;0;0;R;
"External ERS 4 accessory GQ3 speed";"Indicates the speed of the GQ3 fan speed on the ERS accessory.";42156;"%";u8;1;0;0;0;R;
"External ERS 3 accessory GQ3 speed";"Indicates the speed of the GQ3 fan speed on the ERS accessory.";42157;"%";u8;1;0;0;0;R;
"External ERS 2 accessory GQ3 speed";"Indicates the speed of the GQ3 fan speed on the ERS accessory.";42158;"%";u8;1;0;0;0;R;
"External ERS 4 accessory block status";"Indicates if the ERS accessory is externaly blocked.";42159;"";u8;1;0;0;0;R;
"External ERS 3 accessory block status";"Indicates if the ERS accessory is externaly blocked.";42160;"";u8;1;0;0;0;R;
"External ERS 2 accessory block status";"Indicates if the ERS accessory is externaly blocked.";42161;"";u8;1;0;0;0;R;
"External ERS 4 accessory EB17";"Indicates if the status of ERS accessory EB17. I = closed, 0 = open.";42162;"";u8;1;0;0;0;R;
"External ERS 3 accessory EB17";"Indicates if the status of ERS accessory EB17. I = closed, 0 = open.";42163;"";u8;1;0;0;0;R;
"External ERS 2 accessory EB17";"Indicates if the status of ERS accessory EB17. I = closed, 0 = open.";42164;"";u8;1;0;0;0;R;
"EB101-EP14 Heat Meter - HW Cpr and Add";"Accumulated energy production as calculated by the heat meter";42393;"kWh";u32;10;0;0;0;R;
"EB101-EP14 Heat Meter - Heat Cpr and Add";"Accumulated energy production as calculated by the heat meter";42395;"kWh";u32;10;0;0;0;R;
"EB101-EP14 Heat Meter - Cooling Cpr";"Accumulated energy production as calculated by the heat meter";42397;"kWh";u32;10;0;0;0;R;
"EB101-EP14 Heat Meter - Pool Cpr";"Accumulated energy production as calculated by the heat meter";42399;"kWh";u32;10;0;0;0;R;
"EB101-EP14 Heat Meter - HW Cpr";"Accumulated energy production as calculated by the heat meter";42401;"kWh";u32;10;0;0;0;R;
"EB101-EP14 Heat Meter - Heat Cpr";"Accumulated energy production as calculated by the heat meter";42403;"kWh";u32;10;0;0;0;R;
