ModbusManager 1.0.9
20200624
Product: F1145, F1245
Database: 8310
Title;Info;ID;Unit;Size;Factor;Min;Max;Default;Mode
"EQ1-BT64 Cool Supply Temp";"Cool supply temperature, BT64";40045;"°C";s16;10;0;0;0;R;
"EQ1-BT65 Cool Return Temp";"Cool return temperature, BT65";40046;"°C";s16;10;0;0;0;R;
"EB100-FD1 Temperature limiter";"";40054;"";s16;1;0;0;0;R;
"BT1 Average";"EB100-BT1 Outdoor temperature average";40067;"°C";s16;10;0;0;0;R;
"EM1-BT52 Boiler Temperature";"Boiler temperature, BT52";40070;"°C";s16;10;0;0;0;R;
"BT25 Ext. Supply";"External supply temperature, BT25";40071;"°C";s16;10;0;0;0;R;
"BF1 EP14 Flow";"Current flow EP14|Current flow EP15";40072;"l/m";s16;10;0;0;0;R;
"EB100-FR1 Anode Status";"";40074;"";s16;1;0;0;0;R;
"BT22 Supply air temp.";"";40075;"°C";s16;10;0;0;0;R;
"EB100-BE3 Current";"";40079;"A";u32;10;0;0;0;R;
"EB100-BE2 Current";"";40081;"A";u32;10;0;0;0;R;
"EB100-BE1 Current";"";40083;"A";u32;10;0;0;0;R;
"CL12-BT51 Pool 2 Temp";"Pool temperature for Pool 2, BT51";40106;"°C";s16;10;0;0;0;R;
"BT20 Exhaust air temp. 4";"";40107;"°C";s16;10;0;0;0;R;
"BT20 Exhaust air temp. 3";"";40108;"°C";s16;10;0;0;0;R;
"BT20 Exhaust air temp. 2";"";40109;"°C";s16;10;0;0;0;R;
"BT21 Vented air temp. 4";"";40110;"°C";s16;10;0;0;0;R;
"BT21 Vented air temp. 3";"";40111;"°C";s16;10;0;0;0;R;
"BT21 Vented air temp. 2";"";40112;"°C";s16;10;0;0;0;R;
"AZ4-BT26 Temp Collector in FLM 4";"Connected to the FLM module";40113;"°C";s16;10;0;0;0;R;
"AZ3-BT26 Temp Collector in FLM 3";"Connected to the FLM module";40114;"°C";s16;10;0;0;0;R;
"AZ2-BT26 Temp Collector in FLM 2";"Connected to the FLM module";40115;"°C";s16;10;0;0;0;R;
"AZ4-BT27 Temp Collector out FLM 4";"Connected to the FLM module";40116;"°C";s16;10;0;0;0;R;
"AZ3-BT27 Temp Collector out FLM 3";"Connected to the FLM module";40117;"°C";s16;10;0;0;0;R;
"AZ2-BT27 Temp Collector out FLM 2";"Connected to the FLM module";40118;"°C";s16;10;0;0;0;R;
"EP23-BT3 Return temp S4";"Return temperature for system 4";40127;"°C";s16;10;0;0;0;R;
"EP22-BT3 Return temp S3";"Return temperature for system 3";40128;"°C";s16;10;0;0;0;R;
"EP21-BT3 Return temp S2";"Return temperature for system 2";40129;"°C";s16;10;0;0;0;R;
"BT70 HW Comfort Supply Temp.";"Hot water comfort supply temperature, BT70";40147;"°C";s16;10;0;0;0;R;
"BT71 Ext. Return Temp";"External return temperature, BT71";40152;"°C";s16;10;0;0;0;R;
"EQ1-BT57 Collector Temp.";"External collector temperature, BT57, for ACS";40155;"°C";s16;10;0;0;0;R;
"EQ1-BT75 Heatdump Temp.";"Heating medium dump temperature, BT75, for ACS";40156;"°C";s16;10;0;0;0;R;
"EP47-BT2 Supply temp S8";"Supply temperature for system 8";40159;"°C";s16;10;0;0;0;R;
"EP46-BT2 Supply temp S7";"Supply temperature for system 7";40160;"°C";s16;10;0;0;0;R;
"EP45-BT2 Supply temp S6";"Supply temperature for system 6";40161;"°C";s16;10;0;0;0;R;
"EP44-BT2 Supply temp S5";"Supply temperature for system 5";40162;"°C";s16;10;0;0;0;R;
"EP47-BT3 Return temp S8";"Return temperature for system 8";40163;"°C";s16;10;0;0;0;R;
"EP46-BT3 Return temp S7";"Return temperature for system 7";40164;"°C";s16;10;0;0;0;R;
"EP45-BT3 Return temp S6";"Return temperature for system 6";40165;"°C";s16;10;0;0;0;R;
"EP44-BT3 Return temp S5";"Return temperature for system 5";40166;"°C";s16;10;0;0;0;R;
"EP47-BT50 Room Temp S8";"";40167;"°C";s16;10;0;0;0;R;
"EP46-BT50 Room Temp S7";"";40168;"°C";s16;10;0;0;0;R;
"EP45-BT50 Room Temp S6";"";40169;"°C";s16;10;0;0;0;R;
"EP44-BT50 Room Temp S5";"";40170;"°C";s16;10;0;0;0;R;
"AZ30-BT23 Outdoor temp. ERS 1";"";40183;"°C";s16;10;0;0;0;R;
"BT1 Average, 1h";"EB100-BT1 Outdoor temperature average, 1h";40185;"°C";s16;10;0;0;0;R;
"EP47-BT50 Room Temp S8 Average";"";40188;"°C";s16;10;0;0;0;R;
"EP46-BT50 Room Temp S7 Average";"";40189;"°C";s16;10;0;0;0;R;
"EP45-BT50 Room Temp S6 Average";"";40190;"°C";s16;10;0;0;0;R;
"EP44-BT50 Room Temp S5 Average";"";40191;"°C";s16;10;0;0;0;R;
"EP23-BT50 Room Temp S4 Average";"";40192;"°C";s16;10;0;0;0;R;
"EP22-BT50 Room Temp S3 Average";"";40193;"°C";s16;10;0;0;0;R;
"EP21-BT50 Room Temp S2 Average";"";40194;"°C";s16;10;0;0;0;R;
"BT50 Room Temp S1 Average";"";40195;"°C";s16;10;0;0;0;R;
"BT74 Average";"BT74 heating cooling sensor average";40212;"°C";s16;10;0;0;0;R;
"BT25 Ext. supply temp, cooling";"";40216;"°C";s16;10;0;0;0;R;
"Calc. Supply S8";"Calculated supply temperature for the climate system";40217;"°C";s16;10;0;0;0;R;
"Calc. Supply S7";"Calculated supply temperature for the climate system";40218;"°C";s16;10;0;0;0;R;
"Calc. Supply S6";"Calculated supply temperature for the climate system";40219;"°C";s16;10;0;0;0;R;
"Calculated Supply S5";"Calculated supply temperature for the climate system";40220;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S8";"Calculated supply temperature in cooling mode for the climate system";40221;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S7";"Calculated supply temperature in cooling mode for the climate system";40222;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S6";"Calculated supply temperature in cooling mode for the climate system";40223;"°C";s16;10;0;0;0;R;
"Calc. Cooling Supply S5";"Calculated supply temperature in cooling mode for the climate system";40224;"°C";s16;10;0;0;0;R;
"Mixing Valve State S8";"State of the mixing valve for the climate system";40305;"";u8;1;0;0;0;R;
"Mixing Valve State S7";"State of the mixing valve for the climate system";40306;"";u8;1;0;0;0;R;
"Mixing Valve State S6";"State of the mixing valve for the climate system";40307;"";u8;1;0;0;0;R;
"Mixing Valve State S5";"State of the mixing valve for the climate system";40308;"";u8;1;0;0;0;R;
"External ERS 1 accessory relays";"Indicates the status of the relays on the ERS accessory. The information is binary encoded. b0: K1, b1: K2, b2: K3, b3: K4";40310;"";u8;1;0;0;0;R;
"External ERS 1 accessory GQ2 speed";"Indicates the speed of the GQ2 fan speed on the ERS accessory.";40311;"%";u8;1;0;0;0;R;
"External ERS 1 accessory GQ3 speed";"Indicates the speed of the GQ3 fan speed on the ERS accessory.";40312;"%";u8;1;0;0;0;R;
"External adjustment activated via input S8";"";40339;"";u8;1;0;0;0;R;
"External adjustment activated via input S7";"";40340;"";u8;1;0;0;0;R;
"External adjustment activated via input S6";"";40341;"";u8;1;0;0;0;R;
"External adjustment activated via input S5";"";40342;"";u8;1;0;0;0;R;
"Extra heating system pump S8";"";40365;"";u8;1;0;0;0;R;
"Extra heating system pump S7";"";40366;"";u8;1;0;0;0;R;
"Extra heating system pump S6";"";40367;"";u8;1;0;0;0;R;
"Extra heating system pump S5";"";40368;"";u8;1;0;0;0;R;
"Extra cooling HPAC, ACS";"";40369;"";u8;1;0;0;0;R;
"BT82 HW Comfort Return Temp";"";40625;"°C";s16;10;0;0;0;R;
"BT83 HW Comfort Cylinder Temp";"";40626;"°C";s16;10;0;0;0;R;
"EB108-EP15 Tot. Cooling op.time compr";"";40647;"h";u32;1;0;0;0;R;
"EB108-EP15 Tot. Pool1 op.time compr";"";40649;"h";u32;1;0;0;0;R;
"EB108-EP15 Tot. Pool2 op.time compr";"";40651;"h";u32;1;0;0;0;R;
"EB108-EP14 Tot. Cooling op.time compr";"";40653;"h";u32;1;0;9999999;0;R;
"EB108-EP14 Tot. Pool1 op.time compr";"";40655;"h";u32;1;0;9999999;0;R;
"EB108-EP14 Tot. Pool2 op.time compr";"";40657;"h";u32;1;0;9999999;0;R;
"EB107-EP15 Tot. Cooling op.time compr";"";40659;"h";u32;1;0;0;0;R;
"EB107-EP15 Tot. Pool1 op.time compr";"";40661;"h";u32;1;0;0;0;R;
"EB107-EP15 Tot. Pool2 op.time compr";"";40663;"h";u32;1;0;0;0;R;
"EB107-EP14 Tot. Cooling op.time compr";"";40665;"h";u32;1;0;9999999;0;R;
"EB107-EP14 Tot. Pool1 op.time compr";"";40667;"h";u32;1;0;9999999;0;R;
"EB107-EP14 Tot. Pool2 op.time compr";"";40669;"h";u32;1;0;9999999;0;R;
"EB106-EP15 Tot. Cooling op.time compr";"";40671;"h";u32;1;0;0;0;R;
"EB106-EP15 Tot. Pool1 op.time compr";"";40673;"h";u32;1;0;0;0;R;
"EB106-EP15 Tot. Pool2 op.time compr";"";40675;"h";u32;1;0;0;0;R;
"EB106-EP14 Tot. Cooling op.time compr";"";40677;"h";u32;1;0;9999999;0;R;
"EB106-EP14 Tot. Pool1 op.time compr";"";40679;"h";u32;1;0;9999999;0;R;
"EB106-EP14 Tot. Pool2 op.time compr";"";40681;"h";u32;1;0;9999999;0;R;
"EB105-EP15 Tot. Cooling op.time compr";"";40683;"h";u32;1;0;0;0;R;
"EB105-EP15 Tot. Pool1 op.time compr";"";40685;"h";u32;1;0;0;0;R;
"EB105-EP15 Tot. Pool2 op.time compr";"";40687;"h";u32;1;0;0;0;R;
"EB105-EP14 Tot. Cooling op.time compr";"";40689;"h";u32;1;0;9999999;0;R;
"EB105-EP14 Tot. Pool1 op.time compr";"";40691;"h";u32;1;0;9999999;0;R;
"EB105-EP14 Tot. Pool2 op.time compr";"";40693;"h";u32;1;0;9999999;0;R;
"EB104-EP15 Tot. Cooling op.time compr";"";40695;"h";u32;1;0;0;0;R;
"EB104-EP15 Tot. Pool1 op.time compr";"";40697;"h";u32;1;0;0;0;R;
"EB104-EP15 Tot. Pool2 op.time compr";"";40699;"h";u32;1;0;0;0;R;
"EB104-EP14 Tot. Cooling op.time compr";"";40701;"h";u32;1;0;9999999;0;R;
"EB104-EP14 Tot. Pool1 op.time compr";"";40703;"h";u32;1;0;9999999;0;R;
"EB104-EP14 Tot. Pool2 op.time compr";"";40705;"h";u32;1;0;9999999;0;R;
"EB103-EP15 Tot. Cooling op.time compr";"";40707;"h";u32;1;0;0;0;R;
"EB103-EP15 Tot. Pool1 op.time compr";"";40709;"h";u32;1;0;0;0;R;
"EB103-EP15 Tot. Pool2 op.time compr";"";40711;"h";u32;1;0;0;0;R;
"EB103-EP14 Tot. Cooling op.time compr";"";40713;"h";u32;1;0;9999999;0;R;
"EB103-EP14 Tot. Pool1 op.time compr";"";40715;"h";u32;1;0;9999999;0;R;
"EB103-EP14 Tot. Pool2 op.time compr";"";40717;"h";u32;1;0;9999999;0;R;
"EB102-EP15 Tot. Cooling op.time compr";"";40719;"h";u32;1;0;0;0;R;
"EB102-EP15 Tot. Pool1 op.time compr";"";40721;"h";u32;1;0;0;0;R;
"EB102-EP15 Tot. Pool2 op.time compr";"";40723;"h";u32;1;0;0;0;R;
"EB102-EP14 Tot. Cooling op.time compr";"";40725;"h";u32;1;0;9999999;0;R;
"EB102-EP14 Tot. Pool1 op.time compr";"";40727;"h";u32;1;0;9999999;0;R;
"EB102-EP14 Tot. Pool2 op.time compr";"";40729;"h";u32;1;0;9999999;0;R;
"EB101-EP15 Tot. Cooling op.time compr";"";40731;"h";u32;1;0;0;0;R;
"EB101-EP15 Tot. Pool1 op.time compr";"";40733;"h";u32;1;0;0;0;R;
"EB101-EP15 Tot. Pool2 op.time compr";"";40735;"h";u32;1;0;0;0;R;
"EB101-EP14 Tot. Cooling op.time compr";"";40737;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool1 op.time compr";"";40739;"h";u32;1;0;9999999;0;R;
"EB101-EP14 Tot. Pool2 op.time compr";"";40741;"h";u32;1;0;9999999;0;R;
"Tot. ext. HW add op.time";"Total external hw-electric additive operation time";40755;"h";s32;10;0;9999999;0;R;
"Heat Meter - Pool2 Cpr EP14";"Accumulated energy production as calculated by the heat meter";40771;"kWh";u32;10;0;0;0;R;
"OPT state";"Indicates the state of the boiler connected through the OPT accessory.";40792;"";u8;1;0;0;0;R;
"OPT version";"Version of the OPT PCBA software";40793;"";u16;1;0;0;0;R;
"OPT rel. modulation level";"OPT relative modulation level";40801;"%";s16;10;0;0;0;R;
"OPT boiler temperature";"OPT boiler temperature";40802;"°C";s16;10;0;0;0;R;
"OPT boiler op. time";"OPT boiler operation time";40806;"h";u16;1;0;0;0;R;
"Available Heat Compressors";"Number of compressors available for heating";40818;"";u8;1;0;0;0;R;
"Available Hot Water Compressors";"Number of compressors available for to hot water";40819;"";u8;1;0;0;0;R;
"Available Pool 1 Compressors";"Number of compressors available for pool 1";40820;"";u8;1;0;0;0;R;
"Available Pool 2 Compressors";"Number of compressors available for pool 2";40821;"";u8;1;0;0;0;R;
"Available Cool Compressors";"Number of compressors available for cooling";40822;"";u8;1;0;0;0;R;
"Available External Compressors";"Number of compressors available for external control";40823;"";u8;1;0;0;0;R;
"BM1 Humidity ";"";40834;"%";s16;10;0;0;0;R;
"BM1 BT50 Room temp.";"";40856;"°C";s16;10;0;0;0;R;
"BM1 Pressure ";"";40857;"kPa";s16;10;0;0;0;R;
"BM1 Dewpoint";"";40858;"°C";s16;10;0;0;0;R;
"+Adjust AUX Port";"";40868;"1";u8;1;0;0;0;R;
"+Adjust OP mode";"Tells if plusadjust system calls for heat or cool";40870;"";u8;1;0;0;0;R;
"+Adjust Comfort mode";"Which comfort mode";40871;"";u8;1;0;0;0;R;
"+Adjust Parallell adjustment";"requested adjustment";40872;"";s8;1;0;0;0;R;
"+Adjust Humidity";"Humidity";40873;"%RH";s16;10;0;0;0;R;
"+Adjust Temp indoor";"Average of all room sensors";40874;"°C";s16;10;0;0;0;R;
"+Adjust Temp outdoor";"Outdoor temp";40875;"°C";s16;10;0;0;0;R;
"+Adjust Version";"PCA input version";40876;"";u16;1;0;0;0;R;
"+Adjust Activated";"If plusadjust accessory is activated";40877;"";u8;1;0;0;0;R;
"+Adjust Need";"If plusadjust system calls for heat";40878;"";u8;1;0;0;0;R;
"BT64 Average";"BT64 Cooling supply average";40889;"°C";s16;10;0;0;0;R;
"EQ1 State ACS Thermostat";"10=off,40=active wait,50=active";40912;"";u8;1;0;0;0;R;
"EQ1 State ACS Thermostat Heat Dump";"10=shunt off,20=shunt open,30=shunt closed";40913;"";u8;1;0;0;0;R;
"Degree Minutes (32 bit)";"Degree minutes, 32bit value. Full resolution.";40940;"";s32;10;-30000;30000;0;R/W;
"External ERS 1 accessory block status";"Indicates if the ERS accessory is externaly blocked.";40942;"";u8;1;0;0;0;R;
"External ERS 1 accessory EB17";"Indicates if the status of ERS accessory EB17. I = closed, 0 = open.";40943;"";u8;1;0;0;0;R;
"External Energy Meter 2 Accumulated Energy";"";40995;"kWh";u32;100;0;2147483647;0;R;
"External Energy Meter 1 Accumulated Energy";"";40997;"kWh";u32;100;0;2147483647;0;R;
"Humidity average";"Humidity average";41027;"%";s16;10;0;0;0;R;
"Set point OPT boiler";"Set point OPT boiler";41186;"°C";s16;10;0;0;0;R;
"AA20-BE5 EME10 Current";"";41189;"A";s16;10;0;0;0;R;
"AA20-BE5 EME10 Average Current";"";41190;"A";s16;10;0;0;0;R;
"PV Panel State";"";41191;"";u8;1;0;0;0;R;
"AZ4-BT50 Room temp";"AZ4-BT50 Room temp";41210;"°C";s16;10;0;0;0;R;
"AZ3-BT50 Room temp";"AZ3-BT50 Room temp";41211;"°C";s16;10;0;0;0;R;
"AZ2-BT50 Room temp";"AZ2-BT50 Room temp";41212;"°C";s16;10;0;0;0;R;
"AZ1-BT50 Room temp";"AZ1-BT50 Room temp";41213;"°C";s16;10;0;0;0;R;
"Fan speed current";"The current fan speed after scheduling and blocks are considered";41256;"%";u8;1;0;0;0;R;
"Fan speed current";"The current fan speed after scheduling and blocks are considered";41257;"%";u8;1;0;0;0;R;
"Fan speed current";"The current fan speed after scheduling and blocks are considered";41258;"%";u8;1;0;0;0;R;
"Smart Home Mode";"Current smart home mode, 0=Default,1=Away from home,2=Vacation";41265;"";u8;1;0;0;0;R;
"Offset to smart home system";"Offset to smart home system";41266;"°C";s8;10;0;0;0;R;
"Smart Home ctrl syst 8";"Smart Home is controlling the system";41267;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 7";"Smart Home is controlling the system";41268;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 6";"Smart Home is controlling the system";41269;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 5";"Smart Home is controlling the system";41270;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 4";"Smart Home is controlling the system";41271;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 3";"Smart Home is controlling the system";41272;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 2";"Smart Home is controlling the system";41273;"";u8;1;0;0;0;R;
"Smart Home ctrl syst 1";"Smart Home is controlling the system";41274;"";u8;1;0;0;0;R;
"OPT boiler has priority hot water";"OPT boiler has priority hot water";41287;"";u8;1;0;0;0;R;
"Smart energy source, energy source prio 7, start DM";"Energy source prio 7, start DM";41393;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 6, start DM";"Energy source prio 6, start DM";41395;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 5, start DM";"Energy source prio 5, start DM";41397;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 4, start DM";"Energy source prio 4, start DM";41399;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 3, start DM";"Energy source prio 3, start DM";41401;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 2, start DM";"Energy source prio 2, start DM";41403;"";s32;1;0;0;0;R;
"Smart energy source, energy source prio 1, start DM";"Energy source prio 1, start DM";41405;"";s32;1;0;0;0;R;
"Smart energy source, degree minute min value";"Smart energy source, degree minute min value in Smart energy source system";41421;"";s32;1;0;0;0;R;
"Smart energy source, actual OPT10 addition price";"Smart energy source, actual OPT10 addition price.";41424;"";u16;1;0;0;0;R;
"Smart energy source, actual shunt add price";"Smart energy source, actual external step addition price.";41425;"";u16;1;0;0;0;R;
"Smart energy source, actual ext. step add price";"Smart energy source, actual external step add price.";41426;"";u16;1;0;0;0;R;
"Smart energy source, actual electricity price";"Smart energy source, actual electricity price.";41427;"";u16;1;0;0;0;R;
"EP12-BT57 Collector In";"";41429;"°C";s16;10;0;0;0;R;
"EP12-BT58 Collector Out";"";41430;"°C";s16;10;0;0;0;R;
"EB108-EP15 Alarm condensor in level";"Alarm condensor in level";41742;"°C";s16;10;0;0;0;R;
"EB108-EP15 Alarm condensor out level";"Alarm condensor out level";41743;"°C";s16;10;0;0;0;R;
"EB108-EP14 Alarm condensor in level";"Alarm condensor in level";41744;"°C";s16;10;0;0;0;R;
"EB108-EP14 Alarm condensor out level";"Alarm condensor out level";41745;"°C";s16;10;0;0;0;R;
"EB107-EP15 Alarm condensor in level";"Alarm condensor in level";41746;"°C";s16;10;0;0;0;R;
"EB107-EP15 Alarm condensor out level";"Alarm condensor out level";41747;"°C";s16;10;0;0;0;R;
"EB107-EP14 Alarm condensor in level";"Alarm condensor in level";41748;"°C";s16;10;0;0;0;R;
"EB107-EP14 Alarm condensor out level";"Alarm condensor out level";41749;"°C";s16;10;0;0;0;R;
"EB106-EP15 Alarm condensor in level";"Alarm condensor in level";41750;"°C";s16;10;0;0;0;R;
"EB106-EP15 Alarm condensor out level";"Alarm condensor out level";41751;"°C";s16;10;0;0;0;R;
"EB106-EP14 Alarm condensor in level";"Alarm condensor in level";41752;"°C";s16;10;0;0;0;R;
"EB106-EP14 Alarm condensor out level";"Alarm condensor out level";41753;"°C";s16;10;0;0;0;R;
"EB105-EP15 Alarm condensor in level";"Alarm condensor in level";41754;"°C";s16;10;0;0;0;R;
"EB105-EP15 Alarm condensor out level";"Alarm condensor out level";41755;"°C";s16;10;0;0;0;R;
"EB105-EP14 Alarm condensor in level";"Alarm condensor in level";41756;"°C";s16;10;0;0;0;R;
"EB105-EP14 Alarm condensor out level";"Alarm condensor out level";41757;"°C";s16;10;0;0;0;R;
"EB104-EP15 Alarm condensor in level";"Alarm condensor in level";41758;"°C";s16;10;0;0;0;R;
"EB104-EP15 Alarm condensor out level";"Alarm condensor out level";41759;"°C";s16;10;0;0;0;R;
"EB104-EP14 Alarm condensor in level";"Alarm condensor in level";41760;"°C";s16;10;0;0;0;R;
"EB104-EP14 Alarm condensor out level";"Alarm condensor out level";41761;"°C";s16;10;0;0;0;R;
"EB103-EP15 Alarm condensor in level";"Alarm condensor in level";41762;"°C";s16;10;0;0;0;R;
"EB103-EP15 Alarm condensor out level";"Alarm condensor out level";41763;"°C";s16;10;0;0;0;R;
"EB103-EP14 Alarm condensor in level";"Alarm condensor in level";41764;"°C";s16;10;0;0;0;R;
"EB103-EP14 Alarm condensor out level";"Alarm condensor out level";41765;"°C";s16;10;0;0;0;R;
"EB102-EP15 Alarm condensor in level";"Alarm condensor in level";41766;"°C";s16;10;0;0;0;R;
"EB102-EP15 Alarm condensor out level";"Alarm condensor out level";41767;"°C";s16;10;0;0;0;R;
"EB102-EP14 Alarm condensor in level";"Alarm condensor in level";41768;"°C";s16;10;0;0;0;R;
"EB102-EP14 Alarm condensor out level";"Alarm condensor out level";41769;"°C";s16;10;0;0;0;R;
"EB101-EP15 Alarm condensor in level";"Alarm condensor in level";41770;"°C";s16;10;0;0;0;R;
"EB101-EP15 Alarm condensor out level";"Alarm condensor out level";41771;"°C";s16;10;0;0;0;R;
"EB101-EP14 Alarm condensor in level";"Alarm condensor in level";41772;"°C";s16;10;0;0;0;R;
"EB101-EP14 Alarm condensor out level";"Alarm condensor out level";41773;"°C";s16;10;0;0;0;R;
"Smart Price Adaption Price";"The current electric price";41928;"";u16;100;0;0;0;R;
"Smart Price Adaption Price Level";"Whether the current price is unknown (0), low (1), medium (2), high (3)";41929;"";u8;1;0;0;0;R;
"AA23-BE5 Power 10";"";41930;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 9";"";41931;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 8";"";41932;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 7";"";41933;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 6";"";41934;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 5";"";41935;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 4";"";41936;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 3";"";41937;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 2";"";41938;"W";u16;1;0;0;0;R;
"AA23-BE5 Power 1";"";41939;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 10";"";41940;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 9";"";41941;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 8";"";41942;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 7";"";41943;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 6";"";41944;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 5";"";41945;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 4";"";41946;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 3";"";41947;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 2";"";41948;"W";u16;1;0;0;0;R;
"AA23-BE5 Error High 1";"";41949;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 10";"";41950;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 9";"";41951;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 8";"";41952;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 7";"";41953;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 6";"";41954;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 5";"";41955;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 4";"";41956;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 3";"";41957;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 2";"";41958;"W";u16;1;0;0;0;R;
"AA23-BE5 Error Low 1";"";41959;"W";u16;1;0;0;0;R;
"AA23-BE5 Com Percentage 10";"";41960;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 9";"";41961;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 8";"";41962;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 7";"";41963;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 6";"";41964;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 5";"";41965;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 4";"";41966;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 3";"";41967;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 2";"";41968;"%";u8;1;0;0;0;R;
"AA23-BE5 Com Percentage 1";"";41969;"%";u8;1;0;0;0;R;
